sessionId,raceLabel,seasonYear,trackName,trackType,teamName,startPosition,finishPosition,positionGain,finishPercentile,bestQualifyingRank,avgQualifyingRank,bestPracticeRank,avgPracticeRank,raceStart,raceFinish,raceGain,fieldStrengthMean,fieldRatedRivals,teamCars,teamAverageFinish,bryceTeamFinishRank,paceIndex,bestLapRank,medianSectionPercentile,sectionComparisonRows,bryceLapGainPercentile,bryceStabilityPercentile,chaosExposureIndex,cautionShare,sessionIncidentCount,sessionPenaltyCount,bryceIncidentCount,brycePenaltyCount,leaderEntropy,weatherContext,archetype,bryceNetLapChartGain,bryceBestRunningPosition,bryceWorstRunningPosition,brycePrimaryStory,bestSectionFamilies,weakestSectionFamilies,sourceState,confidence,caveat,top10,top5,preRaceEligible,postRaceOnlyFields,modelLeakagePolicy,sourceHash
session_indy_nxt_2024_6320,2024 OUTFRONT Showdown,2024,World Wide Technology Raceway,oval,Andretti Global,13.0,6.0,7.0,0.7222,13.0,13.0,14.0,14.0,13,6,7,0.5314127008182283,17,4,8.25,2,0.5735294117647058,7.0,0.5,152.0,1.0,0.4705882352941176,0.4163333333333333,0.2533333333333333,8,1,0,0,0.0,dry/hot/high,recovery_drive,8.0,6.0,14.0,recovery_drive,Turn 3:0.66; Turn 4:0.56; Turn 2:0.52; BS - T3:0.50,BS - T2:0.33; FS - PI:0.42; FS - PO:0.43; Turn 1:0.49,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy,1,0,false,finishPosition;positionGain;paceIndex;lapDynamics;sectionResults;incidentPenalty;teamOutcome;archetype,full_feature_matrix_is_post_race_context;pre_race_models_must_exclude_postRaceOnlyFields,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6321,2024 Grand Prix of Portland,2024,Portland International Raceway,road,Andretti Global,6.0,3.0,3.0,0.8824,4.0,5.5,7.0,10.0,6,3,3,0.5371824749277772,16,4,8.75,2,0.59375,8.0,0.625,247.0,0.5882352941176471,1.0,0.2195238095238095,0.0571428571428571,2,4,0,0,0.0,dry/moderate/low,podium_top5_conversion,0.0,3.0,3.0,front_running_conversion,Turn 12:0.80; Turn 6:0.71; Turn 2:0.68; Turn 1:0.66,Turn 9:0.31; FS-PO:0.36; Turn 8:0.48; Turn 5:0.49,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy,1,1,false,finishPosition;positionGain;paceIndex;lapDynamics;sectionResults;incidentPenalty;teamOutcome;archetype,full_feature_matrix_is_post_race_context;pre_race_models_must_exclude_postRaceOnlyFields,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6322,2024 INDY NXT By Firestone at The Milwaukee Mile,2024,The Milwaukee Mile,oval,Andretti Global,7.0,4.0,3.0,0.8333,7.0,7.0,15.0,15.0,7,4,3,0.5266331021234903,17,4,4.0,2,0.803921568627451,2.0,0.6666666666666667,171.0,0.9375,0.9375,0.2366666666666666,0.0333333333333333,4,2,0,0,0.0,dry/hot/medium,podium_top5_conversion,3.0,4.0,7.0,front_running_conversion,BS to T3:0.76; SS1 to T2:0.75; T3 to SS2:0.71; T2 to BS:0.68,T4 to FS:0.48; SS2 to T4:0.51; SF to T1:0.53; FS to SF:0.58,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy,1,1,false,finishPosition;positionGain;paceIndex;lapDynamics;sectionResults;incidentPenalty;teamOutcome;archetype,full_feature_matrix_is_post_race_context;pre_race_models_must_exclude_postRaceOnlyFields,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6323,2024 Music City Grand Prix,2024,Nashville Superspeedway,oval,Andretti Global,10.0,7.0,3.0,0.6667,,,3.0,6.0,10,7,3,0.5274524915290322,17,4,7.25,3,0.5588235294117647,7.0,0.4705882352941176,57.0,0.7777777777777778,0.6111111111111112,0.2885897435897436,0.0923076923076923,2,2,0,0,0.0,dry/moderate/medium,baseline_execution,4.0,6.0,13.0,volatile_race_shape,Turn 4 Entry Turn 4 Exit:0.51; Turn 1 Entry Turn 1 Exit Turn 2 Entry BackStretch BackStretch:0.50; Turn 3:0.45,Turn 3:0.45; Turn 1 Entry Turn 1 Exit Turn 2 Entry BackStretch BackStretch:0.50; Turn 4 Entry Turn 4 Exit:0.51,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy,1,0,false,finishPosition;positionGain;paceIndex;lapDynamics;sectionResults;incidentPenalty;teamOutcome;archetype,full_feature_matrix_is_post_race_context;pre_race_models_must_exclude_postRaceOnlyFields,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2025_6446,2025 Grand Prix of St. Petersburg,2025,Streets of St. Petersburg,street,HMD Motorsports,20.0,13.0,7.0,0.4286,10.0,10.0,14.0,16.5,20,13,7,0.4937527835419787,20,9,12.666666666666666,5,0.2680555555555556,15.0,0.2361111111111111,190.0,0.9,0.3,0.3409090909090909,0.2272727272727272,8,1,0,0,0.0,dry/moderate/medium,recovery_drive,3.0,13.0,16.0,recovery_drive,Turns 5-8:0.49; Turn 1:0.48; Turns 11/12 Turns 13/14:0.45; Turns 2/3:0.38,FS-PO:0.21; FS-PI:0.22; Turn 9a:0.23; Turn 4:0.26,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy,0,0,false,finishPosition;positionGain;paceIndex;lapDynamics;sectionResults;incidentPenalty;teamOutcome;archetype,full_feature_matrix_is_post_race_context;pre_race_models_must_exclude_postRaceOnlyFields,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2025_6445,2025 Grand Prix of Alabama,2025,Barber Motorsports Park,road,Chip Ganassi Racing,6.0,15.0,-9.0,0.3,3.0,3.0,13.0,13.5,6,15,-9,0.490192483937816,19,2,14.0,2,0.3157894736842105,15.0,0.368421052631579,190.0,0.1,0.15,0.2504761904761904,0.1428571428571428,4,0,0,0,0.0,dry/cool/medium,conversion_loss,-7.0,8.0,17.0,position_loss_race,Turn 17:0.57; Turns 1-3:0.49; Turns 5-6:0.47; Turns 12-13 Turns 14-16:0.45,FS-PO:0.30; Turn 10:0.33; Turn 11:0.33; Turn 7:0.37,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy,0,0,false,finishPosition;positionGain;paceIndex;lapDynamics;sectionResults;incidentPenalty;teamOutcome;archetype,full_feature_matrix_is_post_race_context;pre_race_models_must_exclude_postRaceOnlyFields,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2025_6444,2025 Indianapolis Grand Prix Race 1 R1,2025,Indianapolis Motor Speedway Road Course,road,Chip Ganassi Racing,18.0,15.0,3.0,0.3333,9.0,13.5,13.0,13.0,18,15,3,0.4964614093880221,20,2,16.5,1,0.3671052631578947,14.0,0.3842105263157895,228.0,0.6666666666666666,0.1904761904761904,0.3073809523809523,0.1142857142857142,5,1,0,0,0.0,dry/cool/low,team_context_outperformed_teammates,1.0,12.0,16.0,volatile_race_shape,FS - PO:0.57; FS - PO 2:0.55; Turn 12/13:0.54; Turn 10:0.54,Turn 11:0.29; Turn 1/2:0.29; Turn 14:0.30; Turn 8/9:0.32,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy,0,0,false,finishPosition;positionGain;paceIndex;lapDynamics;sectionResults;incidentPenalty;teamOutcome;archetype,full_feature_matrix_is_post_race_context;pre_race_models_must_exclude_postRaceOnlyFields,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2025_6443,2025 Indianapolis Grand Prix Race 2 R2,2025,Indianapolis Motor Speedway Road Course,road,Chip Ganassi Racing,18.0,15.0,3.0,0.3333,9.0,13.5,,,18,15,3,0.4964614093880221,20,2,10.5,2,0.425,10.0,0.3,228.0,0.9047619047619048,0.1904761904761904,0.377858365240275,0.0571428571428571,2,4,0,1,0.5916727785823274,dry/moderate/low,baseline_execution,5.0,15.0,20.0,volatile_race_shape,FS - PO 2:0.55; Turn 12/13:0.53; FS - PO:0.45; Turn 4/5/6 Backstretch:0.38,Turn 3:0.21; Turn 14:0.24; Turn 11:0.24; Turn 8/9:0.28,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy,0,0,false,finishPosition;positionGain;paceIndex;lapDynamics;sectionResults;incidentPenalty;teamOutcome;archetype,full_feature_matrix_is_post_race_context;pre_race_models_must_exclude_postRaceOnlyFields,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2025_6455,2025 Detroit Grand Prix,2025,Detroit Downtown Street Circuit,street,Chip Ganassi Racing,15.0,10.0,5.0,0.55,8.0,11.5,13.0,15.0,15,10,5,0.4890472949370326,19,2,9.5,2,0.3343653250773993,14.0,0.3529411764705882,284.0,0.6111111111111112,0.4444444444444444,0.3844444444444444,0.1111111111111111,7,4,0,0,0.0,dry/cool/medium,recovery_drive,1.0,9.0,12.0,recovery_drive,Back Str 2:0.78; I1 to I2A:0.54; I8 to I9:0.47; I6 to I7:0.44,I3 to I4:0.19; I4 to I5:0.21; I11 to 12:0.25; I12 to I13:0.27,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy,1,0,false,finishPosition;positionGain;paceIndex;lapDynamics;sectionResults;incidentPenalty;teamOutcome;archetype,full_feature_matrix_is_post_race_context;pre_race_models_must_exclude_postRaceOnlyFields,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2025_6454,2025 INDY NXT by Firestone at World Wide Technology Raceway,2025,World Wide Technology Raceway,oval,Chip Ganassi Racing,16.0,14.0,2.0,0.3158,16.0,16.0,17.0,17.0,16,14,2,0.479405553622155,18,2,12.0,2,0.2777777777777778,15.0,0.3333333333333333,152.0,0.5789473684210527,0.8947368421052632,0.1466642073063087,0.0,0,0,0,0,0.5833210365315439,dry/hot/low,baseline_execution,0.0,13.0,14.0,steady_context_race,Turn 3:0.42; Turn 4:0.41; Turn 1:0.40; Turn 2:0.37,FS - PI:0.30; FS - PO:0.34; BS - T2:0.34; BS - T3:0.35,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy,0,0,false,finishPosition;positionGain;paceIndex;lapDynamics;sectionResults;incidentPenalty;teamOutcome;archetype,full_feature_matrix_is_post_race_context;pre_race_models_must_exclude_postRaceOnlyFields,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2025_6453,2025 Grand Prix at Road America,2025,Road America,road,Chip Ganassi Racing,10.0,9.0,1.0,0.5789,5.0,7.5,9.0,10.0,10,9,1,0.4854796956818117,18,2,12.0,1,0.4166666666666667,13.0,0.5,266.0,0.8421052631578947,0.8947368421052632,0.1722556248918265,0.0,0,0,0,0,0.8112781244591328,dry/hot/medium,baseline_execution,1.0,9.0,10.0,steady_context_race,I3A to I4:0.58; I4 to I4A:0.58; I6 to I7:0.57; I4A to I5:0.55,I3 to I3A:0.27; I8 to I9:0.28; I10 to I11 I11 to I11B:0.37; I7 to I8:0.40,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy,1,0,false,finishPosition;positionGain;paceIndex;lapDynamics;sectionResults;incidentPenalty;teamOutcome;archetype,full_feature_matrix_is_post_race_context;pre_race_models_must_exclude_postRaceOnlyFields,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2025_6452,2025 Grand Prix at Mid-Ohio,2025,Mid-Ohio Sports Car Course,road,Chip Ganassi Racing,7.0,12.0,-5.0,0.4211,4.0,5.5,12.0,14.0,7,12,-5,0.48670628268071,18,2,13.0,1,0.3333333333333333,13.0,0.3333333333333333,282.0,0.0526315789473684,0.3157894736842105,0.1842424242424242,0.0606060606060606,3,2,0,0,0.0,dry/hot/medium,team_context_outperformed_teammates,-3.0,9.0,12.0,steady_context_race,Turn 2:0.62; Turn 12:0.59; Turn 5:0.58; Turn 3:0.50,Turn 1A:0.18; Turn 10:0.25; Turn 1B:0.27; Turn 1:0.27,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy,0,0,false,finishPosition;positionGain;paceIndex;lapDynamics;sectionResults;incidentPenalty;teamOutcome;archetype,full_feature_matrix_is_post_race_context;pre_race_models_must_exclude_postRaceOnlyFields,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2025_6451,2025 INDY NXT by Firestone at Iowa Speedway,2025,Iowa Speedway,oval,Chip Ganassi Racing,11.0,9.0,2.0,0.5789,,,15.0,15.0,11,9,2,0.4866679163659511,18,2,7.0,2,0.3333333333333333,14.0,0.3888888888888888,152.0,0.8947368421052632,0.6842105263157895,0.3872225474321294,0.1333333333333333,3,1,0,0,0.6944460704939805,dry/moderate/medium,baseline_execution,5.0,9.0,14.0,steady_context_race,T3 to SS2:0.53; BS to T3:0.46; T2 to BS:0.44; SS1 to T2:0.43,SF to T1:0.20; T4 to SF:0.25; SS2 to T4:0.25; T1 to SS1:0.36,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy,1,0,false,finishPosition;positionGain;paceIndex;lapDynamics;sectionResults;incidentPenalty;teamOutcome;archetype,full_feature_matrix_is_post_race_context;pre_race_models_must_exclude_postRaceOnlyFields,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2025_6442,2025 Grand Prix of Monterey Race 1 R1,2025,WeatherTech Raceway Laguna Seca,road,Chip Ganassi Racing,14.0,10.0,4.0,0.5263,7.0,10.5,10.0,11.5,14,10,4,0.4972382352205104,18,2,10.5,1,0.4482638888888889,11.0,0.4520833333333333,266.0,0.1176470588235294,0.1764705882352941,0.224047619047619,0.1142857142857142,4,1,0,0,0.0,dry/cool/medium,baseline_execution,-1.0,7.0,10.0,steady_context_race,Turn 1 Entry Turn 1 Exit:0.64; Turn 4A:0.61; Turn 2:0.57; Turn 5A:0.52,Turn 6:0.29; Turn 9:0.38; Corkscrew:0.39; Turn 11:0.39,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy,1,0,false,finishPosition;positionGain;paceIndex;lapDynamics;sectionResults;incidentPenalty;teamOutcome;archetype,full_feature_matrix_is_post_race_context;pre_race_models_must_exclude_postRaceOnlyFields,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2025_6450,2025 Grand Prix of Monterey Race 2 R2,2025,WeatherTech Raceway Laguna Seca,road,Chip Ganassi Racing,12.0,19.0,-7.0,0.0526,6.0,10.0,,,12,19,-7,0.4972382352205104,18,2,12.5,2,,,,6.0,,,0.5764285714285714,0.4285714285714285,8,6,2,0,0.0,dry/cool/medium,incident_or_reliability_limited,,,,incident_or_reliability_limited,FS - PI:0.89; Turn 1 Entry Turn 1 Exit:0.39; Turn 2:0.00; Turn 3:0.00,Turn 2:0.00; Turn 3:0.00; Turn 4:0.00; Turn 4A:0.00,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium_low,derived score for product discovery; review labels before public UI copy,0,0,false,finishPosition;positionGain;paceIndex;lapDynamics;sectionResults;incidentPenalty;teamOutcome;archetype,full_feature_matrix_is_post_race_context;pre_race_models_must_exclude_postRaceOnlyFields,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2025_6449,2025 Grand Prix of Portland,2025,Portland International Raceway,road,Chip Ganassi Racing,5.0,19.0,-14.0,0.0526,3.0,4.0,3.0,7.5,5,19,-14,0.48742029585902,18,2,12.5,2,,,,4.0,,,0.1509523809523809,0.0857142857142857,2,0,2,0,0.0,dry/moderate/medium,incident_or_reliability_limited,,,,incident_or_reliability_limited,FS-PI:0.89; Turn 1:0.71; Turn 12:0.67; FS-PO:0.17,FS-PO:0.17; Turn 12:0.67; Turn 1:0.71; FS-PI:0.89,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium_low,derived score for product discovery; review labels before public UI copy,0,0,false,finishPosition;positionGain;paceIndex;lapDynamics;sectionResults;incidentPenalty;teamOutcome;archetype,full_feature_matrix_is_post_race_context;pre_race_models_must_exclude_postRaceOnlyFields,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
