trackId,trackName,lengthMi,lengthSource,lat,lon,country,coordsSource
track_nashville_superspeedway,Nashville Superspeedway,1.33,Nashville Superspeedway official track facts | https://www.nashvillesuperspeedway.com/media/track-facts/track-facts.html,36.0469,-86.4119,United States,Nashville Superspeedway official track facts | https://www.nashvillesuperspeedway.com/media/track-facts/track-facts.html
track_new_jersey_motorsports_park_thunderbolt,New Jersey Motorsports Park Thunderbolt Raceway,2.25,New Jersey Motorsports Park official track map | https://njmp.com/track-map/,39.35897,-75.061628,United States,New Jersey Motorsports Park official track map | https://njmp.com/track-map/
track_oulton_park_international,Oulton Park,2.692,MotorSport Vision official circuit layout | https://www.oultonpark.co.uk/about/circuit-layouts,53.1776,-2.614,United Kingdom,MotorSport Vision official circuit layout | https://www.oultonpark.co.uk/about/circuit-layouts
track_pittsburgh_international_race_complex,Pittsburgh International Race Complex,2.8,Pittsburgh International Race Complex official site | https://www.pittrace.com/post/hooked-on-driving,40.85,-80.3432,United States,MotoAmerica official track map | https://www.motoamericaregistration.com/PDF/TrackMaps/Pitt%20Track%20Map.pdf
track_portland_international_raceway,Portland International Raceway,1.964,Portland International Raceway official site | https://portlandraceway.com/,45.5939,-122.6946,United States,Portland International Raceway official site | https://portlandraceway.com/
track_red_bull_ring,Red Bull Ring,2.683,Formula 1 official circuit profile | https://www.formula1.com/en/information/red-bull-ring-spielberg.1s7EC2bGta7o1thZkVPbbq,47.2197,14.7647,Austria,Red Bull Ring official site | https://www.redbullring.com/
track_road_america,Road America,4.048,Road America official track facts | https://www.roadamerica.com/faq,43.7971,-87.989,United States,Road America official track facts | https://www.roadamerica.com/faq
track_silverstone_gp,Silverstone Circuit,3.66,Silverstone official circuit site | https://www.silverstone.co.uk/track-and-testing/exclusive-circuit-hire,52.0786,-1.0169,United Kingdom,Silverstone official circuit site | https://www.silverstone.co.uk/
track_silverstone_international,Silverstone Circuit,1.8508,BARC and TSL Timing official 2020 result book | https://www.tsl-timing.com/file/?f=BARC/2020/204121ffn.pdf,52.0786,-1.0169,United Kingdom,Silverstone official circuit site | https://www.silverstone.co.uk/
track_silverstone_national,Silverstone Circuit,1.64,Silverstone official circuit site | https://www.silverstone.co.uk/track-and-testing/exclusive-circuit-hire,52.0786,-1.0169,United Kingdom,Silverstone official circuit site | https://www.silverstone.co.uk/
track_snetterton_300,Snetterton Circuit,2.969,MotorSport Vision official circuit layout | https://www.snetterton.co.uk/about/circuit-map,52.4631,0.9479,United Kingdom,MotorSport Vision official circuit layout | https://www.snetterton.co.uk/about/circuit-map
track_streets_of_st_petersburg,Streets of St. Petersburg,1.8,IMSA official supplementary regulations | https://www.imsa.com/wp-content/uploads/sites/32/2025/02/19/2025-IMSA-Provisional-Schedule-and-SR-MX-5-ST-Pete-021925.pdf,27.7676,-82.6321,United States,Grand Prix of St. Petersburg official site | https://www.gpstpete.com/
track_summit_point_motorsports_park,Summit Point Motorsports Park Main Circuit,2.0,Summit Point Motorsports Park official site | https://summitpointmp.com/,39.2344,-77.9753,United States,Summit Point Motorsports Park official site | https://summitpointmp.com/
track_the_milwaukee_mile,The Milwaukee Mile,1.015,Wisconsin State Fair Park official Milwaukee Mile profile | https://wistatefair.com/wsfp/milwaukee-mile/,43.0206,-88.0105,United States,Wisconsin State Fair Park official Milwaukee Mile profile | https://wistatefair.com/wsfp/milwaukee-mile/
track_virginia_international_raceway,Virginia International Raceway,3.27,Virginia International Raceway official configurations | https://virnow.com/track/configurations/,36.5618,-79.2046,United States,Virginia International Raceway official configurations | https://virnow.com/track/configurations/
track_watkins_glen_international,Watkins Glen International,3.37,Watkins Glen International official FAQ | https://www.theglen.com/faq/,42.33693,-76.92721,United States,TopoZone venue coordinates | https://www.topozone.com/new-york/schuyler-ny/locale/watkins-glen-international/
track_weathertech_raceway_laguna_seca,WeatherTech Raceway Laguna Seca,2.238,IMSA official circuit profile | https://www.imsa.com/nascar-tracks/weathertech-raceway-laguna-seca/,36.5843,-121.7539,United States,WeatherTech Raceway Laguna Seca official site | https://www.weathertechraceway.com/
track_world_wide_technology_raceway,World Wide Technology Raceway,1.25,World Wide Technology Raceway official site | https://wwtraceway.com/,38.6507,-90.1355,United States,World Wide Technology Raceway official site | https://wwtraceway.com/
