seasonYear,eventName,sessionName,raceNumber,trackName,teamName,teamRaceDriverCount,teammateCount,bryceFinishPosition,bryceWithinTeamRank,teamBestFinish,teamMedianFinish,teammateBestFinish,teammateMedianFinish,sourceFamily,sourceState,confidence,caveat,sessionId,sourceHash
2021,GB3 2021 Round 4 - Spa-Francorchamps,Race 3 Result,3,Circuit de Spa-Francorchamps,Carlin,3,2,14.0,3,5.0,7.0,5.0,6.0,2021 TSL official PDFs,official_full_field_results_descriptive_team_context,medium,"Team context is result-position context only. It does not support engineering, setup, strategy, or reliability attribution.",session_gb3_2021_212905_race_3_result,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 5 - Snetterton,Race 1 Result,1,Snetterton Circuit,Carlin,3,2,11.0,2,7.0,11.0,7.0,12.0,2021 TSL official PDFs,official_full_field_results_descriptive_team_context,medium,"Team context is result-position context only. It does not support engineering, setup, strategy, or reliability attribution.",session_gb3_2021_213105_race_1_result,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 5 - Snetterton,Race 2 Result,2,Snetterton Circuit,Carlin,3,2,6.0,2,2.0,6.0,2.0,6.5,2021 TSL official PDFs,official_full_field_results_descriptive_team_context,medium,"Team context is result-position context only. It does not support engineering, setup, strategy, or reliability attribution.",session_gb3_2021_213105_race_2_result,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 5 - Snetterton,Race 3 Result,3,Snetterton Circuit,Carlin,3,2,13.0,3,2.0,10.0,2.0,6.0,2021 TSL official PDFs,official_full_field_results_descriptive_team_context,medium,"Team context is result-position context only. It does not support engineering, setup, strategy, or reliability attribution.",session_gb3_2021_213105_race_3_result,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 6 - Oulton Park,Race 1 Result,1,Oulton Park,Carlin,3,2,14.0,3,1.0,5.0,1.0,3.0,2021 TSL official PDFs,official_full_field_results_descriptive_team_context,medium,"Team context is result-position context only. It does not support engineering, setup, strategy, or reliability attribution.",session_gb3_2021_213605_race_1_result,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 6 - Oulton Park,Race 2 Result,2,Oulton Park,Carlin,3,2,8.0,2,3.0,5.5,3.0,3.0,2021 TSL official PDFs,official_full_field_results_descriptive_team_context,medium,"Team context is result-position context only. It does not support engineering, setup, strategy, or reliability attribution.",session_gb3_2021_213605_race_2_result,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 6 - Oulton Park,Race 3 Result,3,Oulton Park,Carlin,3,2,13.0,3,6.0,11.0,6.0,8.5,2021 TSL official PDFs,official_full_field_results_descriptive_team_context,medium,"Team context is result-position context only. It does not support engineering, setup, strategy, or reliability attribution.",session_gb3_2021_213605_race_3_result,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 7 - Donington Park,Race 1 Result,1,Donington Park,Carlin,3,2,6.0,2,1.0,6.0,1.0,7.0,2021 TSL official PDFs,official_full_field_results_descriptive_team_context,medium,"Team context is result-position context only. It does not support engineering, setup, strategy, or reliability attribution.",session_gb3_2021_214105_race_1_result,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 7 - Donington Park,Race 2 Result,2,Donington Park,Carlin,3,2,6.0,3,1.0,3.0,1.0,2.0,2021 TSL official PDFs,official_full_field_results_descriptive_team_context,medium,"Team context is result-position context only. It does not support engineering, setup, strategy, or reliability attribution.",session_gb3_2021_214105_race_2_result,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 7 - Donington Park,Race 3 Result,3,Donington Park,Carlin,3,2,13.0,2,8.0,13.0,8.0,11.0,2021 TSL official PDFs,official_full_field_results_descriptive_team_context,medium,"Team context is result-position context only. It does not support engineering, setup, strategy, or reliability attribution.",session_gb3_2021_214105_race_3_result,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2022,GB3 2022 Round 1 - Oulton Park,Race 1,1,Oulton Park,Hitech Pulse-Eight,3,2,12.0,3,1.0,11.0,1.0,6.0,2022 GB3 official JSON,official_full_field_results_descriptive_team_context,medium,"Team context is result-position context only. It does not support engineering, setup, strategy, or reliability attribution.",session_gb3_2022_778,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2022,GB3 2022 Round 1 - Oulton Park,Race 2,2,Oulton Park,Hitech Pulse-Eight,3,2,15.0,2,1.0,8.0,1.0,1.0,2022 GB3 official JSON,official_full_field_results_descriptive_team_context,medium,"Team context is result-position context only. It does not support engineering, setup, strategy, or reliability attribution.",session_gb3_2022_779,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2022,GB3 2022 Round 1 - Oulton Park,Race 3 ,3,Oulton Park,Hitech Pulse-Eight,3,2,17.0,2,7.0,12.0,7.0,7.0,2022 GB3 official JSON,official_full_field_results_descriptive_team_context,medium,"Team context is result-position context only. It does not support engineering, setup, strategy, or reliability attribution.",session_gb3_2022_780,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2022,GB3 2022 Round 2 - Silverstone,Race 1,4,Silverstone Circuit,Hitech Pulse-Eight,3,2,19.0,3,2.0,16.0,2.0,9.0,2022 GB3 official JSON,official_full_field_results_descriptive_team_context,medium,"Team context is result-position context only. It does not support engineering, setup, strategy, or reliability attribution.",session_gb3_2022_1082,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2022,GB3 2022 Round 2 - Silverstone,Race 2,5,Silverstone Circuit,Hitech Pulse-Eight,3,2,12.0,2,3.0,12.0,3.0,10.5,2022 GB3 official JSON,official_full_field_results_descriptive_team_context,medium,"Team context is result-position context only. It does not support engineering, setup, strategy, or reliability attribution.",session_gb3_2022_1083,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2022,GB3 2022 Round 2 - Silverstone,Race 3 ,6,Silverstone Circuit,Hitech Pulse-Eight,3,2,3.0,2,1.0,3.0,1.0,9.0,2022 GB3 official JSON,official_full_field_results_descriptive_team_context,medium,"Team context is result-position context only. It does not support engineering, setup, strategy, or reliability attribution.",session_gb3_2022_1084,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2022,GB3 2022 Round 3 - Donington Park,Race 1,7,Donington Park,Hitech Pulse-Eight,3,2,12.0,1,12.0,13.0,14.0,14.0,2022 GB3 official JSON,official_full_field_results_descriptive_team_context,medium,"Team context is result-position context only. It does not support engineering, setup, strategy, or reliability attribution.",session_gb3_2022_1085,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2022,GB3 2022 Round 3 - Donington Park,Race 2,8,Donington Park,Hitech Pulse-Eight,3,2,19.0,3,2.0,15.0,2.0,8.5,2022 GB3 official JSON,official_full_field_results_descriptive_team_context,medium,"Team context is result-position context only. It does not support engineering, setup, strategy, or reliability attribution.",session_gb3_2022_1257,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2022,GB3 2022 Round 3 - Donington Park,Race 3 ,9,Donington Park,Hitech Pulse-Eight,3,2,1.0,1,1.0,9.0,9.0,14.0,2022 GB3 official JSON,official_full_field_results_descriptive_team_context,medium,"Team context is result-position context only. It does not support engineering, setup, strategy, or reliability attribution.",session_gb3_2022_1087,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2022,GB3 2022 Round 4 - Snetterton,Race 1,10,Snetterton Circuit,Hitech Pulse-Eight,3,2,11.0,2,2.0,11.0,2.0,8.0,2022 GB3 official JSON,official_full_field_results_descriptive_team_context,medium,"Team context is result-position context only. It does not support engineering, setup, strategy, or reliability attribution.",session_gb3_2022_1088,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2022,GB3 2022 Round 4 - Snetterton,Race 2,11,Snetterton Circuit,Hitech Pulse-Eight,3,2,13.0,2,1.0,13.0,1.0,10.0,2022 GB3 official JSON,official_full_field_results_descriptive_team_context,medium,"Team context is result-position context only. It does not support engineering, setup, strategy, or reliability attribution.",session_gb3_2022_1089,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2022,GB3 2022 Round 4 - Snetterton,Race 3,12,Snetterton Circuit,Hitech Pulse-Eight,3,2,,,14.0,14.0,14.0,14.0,2022 GB3 official JSON,official_full_field_results_descriptive_team_context,medium,"Team context is result-position context only. It does not support engineering, setup, strategy, or reliability attribution.",session_gb3_2022_1305,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2022,GB3 2022 Round 5 - Spa,Race 1,13,Circuit de Spa-Francorchamps,Hitech Pulse-Eight,3,2,9.0,3,1.0,7.0,1.0,4.0,2022 GB3 official JSON,official_full_field_results_descriptive_team_context,medium,"Team context is result-position context only. It does not support engineering, setup, strategy, or reliability attribution.",session_gb3_2022_1363,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2022,GB3 2022 Round 5 - Spa,Race 2,14,Circuit de Spa-Francorchamps,Hitech Pulse-Eight,3,2,14.0,3,1.0,9.0,1.0,5.0,2022 GB3 official JSON,official_full_field_results_descriptive_team_context,medium,"Team context is result-position context only. It does not support engineering, setup, strategy, or reliability attribution.",session_gb3_2022_1364,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2022,GB3 2022 Round 5 - Spa,Race 3,15,Circuit de Spa-Francorchamps,Hitech Pulse-Eight,3,2,21.0,3,13.0,18.0,13.0,15.5,2022 GB3 official JSON,official_full_field_results_descriptive_team_context,medium,"Team context is result-position context only. It does not support engineering, setup, strategy, or reliability attribution.",session_gb3_2022_1365,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2022,GB3 2022 Round 6 - Silverstone,Race 1,16,Silverstone Circuit,Hitech Pulse-Eight,3,2,16.0,2,10.0,16.0,10.0,13.5,2022 GB3 official JSON,official_full_field_results_descriptive_team_context,medium,"Team context is result-position context only. It does not support engineering, setup, strategy, or reliability attribution.",session_gb3_2022_1094,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2022,GB3 2022 Round 6 - Silverstone,Race 2,17,Silverstone Circuit,Hitech Pulse-Eight,3,2,,,11.0,13.0,11.0,13.0,2022 GB3 official JSON,official_full_field_results_descriptive_team_context,medium,"Team context is result-position context only. It does not support engineering, setup, strategy, or reliability attribution.",session_gb3_2022_1376,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2022,GB3 2022 Round 6 - Silverstone,Race 3 ,18,Silverstone Circuit,Hitech Pulse-Eight,3,2,14.0,2,5.0,14.0,5.0,10.0,2022 GB3 official JSON,official_full_field_results_descriptive_team_context,medium,"Team context is result-position context only. It does not support engineering, setup, strategy, or reliability attribution.",session_gb3_2022_1096,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2022,GB3 2022 Round 7 - Brands Hatch,Race 1,19,Brands Hatch Circuit,Hitech Pulse-Eight,3,2,8.0,2,2.0,8.0,2.0,11.5,2022 GB3 official JSON,official_full_field_results_descriptive_team_context,medium,"Team context is result-position context only. It does not support engineering, setup, strategy, or reliability attribution.",session_gb3_2022_1097,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2022,GB3 2022 Round 7 - Brands Hatch,Race 2,20,Brands Hatch Circuit,Hitech Pulse-Eight,3,2,7.0,2,2.0,7.0,2.0,10.5,2022 GB3 official JSON,official_full_field_results_descriptive_team_context,medium,"Team context is result-position context only. It does not support engineering, setup, strategy, or reliability attribution.",session_gb3_2022_1098,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2022,GB3 2022 Round 7 - Brands Hatch,Race 3 ,21,Brands Hatch Circuit,Hitech Pulse-Eight,3,2,10.0,3,2.0,9.0,2.0,5.5,2022 GB3 official JSON,official_full_field_results_descriptive_team_context,medium,"Team context is result-position context only. It does not support engineering, setup, strategy, or reliability attribution.",session_gb3_2022_1099,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2022,GB3 2022 Round 8 - Donington Park,Race 1,22,Donington Park,Hitech Pulse-Eight,3,2,6.0,2,2.0,6.0,2.0,7.0,2022 GB3 official JSON,official_full_field_results_descriptive_team_context,medium,"Team context is result-position context only. It does not support engineering, setup, strategy, or reliability attribution.",session_gb3_2022_1103,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2022,GB3 2022 Round 8 - Donington Park,Race 2,23,Donington Park,Hitech Pulse-Eight,3,2,3.0,2,2.0,3.0,2.0,3.5,2022 GB3 official JSON,official_full_field_results_descriptive_team_context,medium,"Team context is result-position context only. It does not support engineering, setup, strategy, or reliability attribution.",session_gb3_2022_1104,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2022,GB3 2022 Round 8 - Donington Park,Race 3 ,24,Donington Park,Hitech Pulse-Eight,3,2,13.0,3,2.0,7.0,2.0,4.5,2022 GB3 official JSON,official_full_field_results_descriptive_team_context,medium,"Team context is result-position context only. It does not support engineering, setup, strategy, or reliability attribution.",session_gb3_2022_1105,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
