eventId,eventName,seasonYear,sessionId,sessionName,sessionSegment,position,fieldSize,bestLapTime,gapToPole,sourceTable,sourceState,confidence,caveat,provenanceRefs,sourceHash
event_gb3_2021_r6_oulton_park,GB3 2021 Round 6 - Oulton Park,2021,session_gb3_2021_213605_qualifying,Qualifying,Qualifying,15.0,,1:32.648,1.633,qualifyingResults,official_pdf_classification_grid_and_weather,high,"2021 supports starts and official weather/track conditions from TSL PDFs, but exposes no lap samples, section metrics, or pit sequence.",source_gb3_2021_213605_qu1_bf3_pdf,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
event_gb3_2021_r6_oulton_park,GB3 2021 Round 6 - Oulton Park,2021,session_gb3_2021_213605_qualifying_2nd_fastest,Qualifying 2nd Fastest,Qualifying 2nd Fastest,15.0,,1:32.683,1.510,qualifyingResults,official_pdf_classification_grid_and_weather,high,"2021 supports starts and official weather/track conditions from TSL PDFs, but exposes no lap samples, section metrics, or pit sequence.",source_gb3_2021_213605_qu2_bf3_pdf,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
event_gb3_2021_r7_donington_park,GB3 2021 Round 7 - Donington Park,2021,session_gb3_2021_214105_qualifying,Qualifying,Qualifying,12.0,,1:24.845,0.669,qualifyingResults,official_pdf_classification_grid_and_weather,high,"2021 supports starts and official weather/track conditions from TSL PDFs, but exposes no lap samples, section metrics, or pit sequence.",source_gb3_2021_214105_qu1_bf3_pdf,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
event_gb3_2021_r7_donington_park,GB3 2021 Round 7 - Donington Park,2021,session_gb3_2021_214105_qualifying_2nd_fastest,Qualifying 2nd Fastest,Qualifying 2nd Fastest,13.0,,1:24.973,0.734,qualifyingResults,official_pdf_classification_grid_and_weather,high,"2021 supports starts and official weather/track conditions from TSL PDFs, but exposes no lap samples, section metrics, or pit sequence.",source_gb3_2021_214105_qu2_bf3_pdf,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
event_gb3_2022_r1_oulton_park,GB3 2022 Round 1 - Oulton Park,2022,session_gb3_2022_1113,Qualifying,Qualifying,21.0,21.0,01:34:365,5.436,results.qualifying_session,official_api_results_and_pit_counts,medium,Qualifying context is read from result rows because this source family does not populate the dedicated qualifyingResults table.,source_gb3_2022_session_1113,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
event_gb3_2022_r2_silverstone,GB3 2022 Round 2 - Silverstone,2022,session_gb3_2022_1196,Qualifying,Qualifying,15.0,20.0,01:54:532,1.446,results.qualifying_session,official_api_results_and_pit_counts,medium,Qualifying context is read from result rows because this source family does not populate the dedicated qualifyingResults table.,source_gb3_2022_session_1196,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
event_gb3_2022_r3_donington_park,GB3 2022 Round 3 - Donington Park,2022,session_gb3_2022_1243,Qualifying,Qualifying,21.0,22.0,01:24:199,1.454,results.qualifying_session,official_api_results_and_pit_counts,medium,Qualifying context is read from result rows because this source family does not populate the dedicated qualifyingResults table.,source_gb3_2022_session_1243,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
event_gb3_2022_r4_snetterton,GB3 2022 Round 4 - Snetterton,2022,session_gb3_2022_1298,Qualifying,Qualifying,15.0,22.0,01:42:493,1.051,results.qualifying_session,official_api_results_and_pit_counts,medium,Qualifying context is read from result rows because this source family does not populate the dedicated qualifyingResults table.,source_gb3_2022_session_1298,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
event_gb3_2022_r5_spa,GB3 2022 Round 5 - Spa,2022,session_gb3_2022_1360,Qualifying,Qualifying,5.0,22.0,02:16:313,0.686,results.qualifying_session,official_api_results_and_pit_counts,medium,Qualifying context is read from result rows because this source family does not populate the dedicated qualifyingResults table.,source_gb3_2022_session_1360,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
event_gb3_2022_r6_silverstone,GB3 2022 Round 6 - Silverstone,2022,session_gb3_2022_1375,Qualifying,Qualifying,,22.0,,,results.qualifying_session,official_api_results_and_pit_counts,medium,Qualifying context is read from result rows because this source family does not populate the dedicated qualifyingResults table.,source_gb3_2022_session_1375,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
event_gb3_2022_r7_brands_hatch,GB3 2022 Round 7 - Brands Hatch,2022,session_gb3_2022_1471,Qualifying,Qualifying,9.0,22.0,01:19:316,0.595,results.qualifying_session,official_api_results_and_pit_counts,medium,Qualifying context is read from result rows because this source family does not populate the dedicated qualifyingResults table.,source_gb3_2022_session_1471,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
event_gb3_2022_r8_donington_park,GB3 2022 Round 8 - Donington Park,2022,session_gb3_2022_1490,Qualifying,Qualifying,3.0,20.0,01:23:862,0.233,results.qualifying_session,official_api_results_and_pit_counts,medium,Qualifying context is read from result rows because this source family does not populate the dedicated qualifyingResults table.,source_gb3_2022_session_1490,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
