driverId,driverName,driverLicense,carId,carNumber,teamId,teamName,class,vehicle,lapCount,validLapCount,validNonPitLapCount,stintCount,bestValidLapSeconds,medianValidNonPitLapSeconds,best20LapAverageSeconds,medianDeltaToClassHourSeconds,medianDeltaToOverallHourSeconds,medianSector1Seconds,medianSector2Seconds,medianSector3Seconds,classDriverCount,classMedianDriverCount,classMedianRank,classMedianPercentile,classBest20DriverCount,classBest20Rank,classBest20Percentile,sourceState,sourceHash
driver_nick_yelloly,Nick Yelloly,Platinum,car_imsa_2025_acura_meyer_shank_racing_w_curb_agajanian_93,93,team_acura_meyer_shank_racing_w_curb_agajanian,Acura Meyer Shank Racing w/Curb Agajanian,GTP,Acura ARX-06,158,146,146,6,96.628,98.8785,97.9453,0.058,-9.9955,24.1885,45.9795,28.457,42,42,18,0.5854,42,12,0.7317,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_renger_van_der_zande,Renger van der Zande,Platinum,car_imsa_2025_acura_meyer_shank_racing_w_curb_agajanian_93,93,team_acura_meyer_shank_racing_w_curb_agajanian,Acura Meyer Shank Racing w/Curb Agajanian,GTP,Acura ARX-06,203,180,180,13,97.056,98.886,98.4874,0.1675,-10.0425,24.2215,46.1415,28.572,42,42,19,0.561,42,28,0.3415,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_alessandro_pier_guidi,Alessandro Pier Guidi,Platinum,car_imsa_2025_af_corse_21,21,team_af_corse,Af Corse,GTD,Ferrari 296 GT3,106,97,97,5,107.859,109.272,108.7547,-0.266,0.565,25.652,50.991,32.66,86,86,7,0.9294,86,10,0.8941,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_kei_cozzolino,Kei Cozzolino,Gold,car_imsa_2025_af_corse_21,21,team_af_corse,Af Corse,GTD,Ferrari 296 GT3,119,107,107,6,108.33,109.893,109.6744,-0.243,0.5785,25.861,51.268,32.819,86,86,39,0.5529,86,54,0.3765,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_lilou_wadoux_ducellier,Lilou Wadoux Ducellier,Silver,car_imsa_2025_af_corse_21,21,team_af_corse,Af Corse,GTD,Ferrari 296 GT3,157,143,143,7,108.166,109.761,109.4359,-0.182,0.6505,25.808,51.168,32.868,86,86,30,0.6588,86,45,0.4824,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_simon_mann,Simon Mann,Silver,car_imsa_2025_af_corse_21,21,team_af_corse,Af Corse,GTD,Ferrari 296 GT3,173,159,159,7,108.065,110.068,109.3045,0.0915,1.029,25.882,51.286,32.895,86,86,54,0.3765,86,39,0.5529,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_arthur_leclerc,Arthur Leclerc,Gold,car_imsa_2025_af_corse_50,50,team_af_corse,Af Corse,GTD,Ferrari 296 GT3,193,179,179,7,108.361,109.549,109.102,-0.029,0.817,25.768,51.185,32.634,86,86,20,0.7765,86,30,0.6588,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_conrad_laursen,Conrad Laursen,Silver,car_imsa_2025_af_corse_50,50,team_af_corse,Af Corse,GTD,Ferrari 296 GT3,210,194,194,8,108.114,109.8435,109.0785,-0.11,0.6737,25.7895,51.283,32.73,86,86,37,0.5765,86,24,0.7294,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_custodio_toledo,Custodio Toledo,Bronze,car_imsa_2025_af_corse_50,50,team_af_corse,Af Corse,GTD,Ferrari 296 GT3,149,139,139,5,109.955,112.454,111.917,1.924,3.073,26.582,52.327,33.518,86,86,86,0.0,86,85,0.0118,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_riccardo_agostini,Riccardo Agostini,Gold,car_imsa_2025_af_corse_50,50,team_af_corse,Af Corse,GTD,Ferrari 296 GT3,167,154,154,7,107.777,109.7445,109.0439,-0.0013,0.9013,25.781,51.1625,32.7505,86,86,27,0.6941,86,22,0.7529,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_dylan_murry,Dylan Murry,Silver,car_imsa_2025_af_corse_88,88,team_af_corse,Af Corse,LMP2,ORECA LMP2 07,156,141,141,7,99.689,102.352,101.7765,-0.1035,-7.1395,24.489,47.802,29.826,47,47,35,0.2609,46,33,0.2889,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_luis_perez_companc,Luis Perez Companc,Bronze,car_imsa_2025_af_corse_88,88,team_af_corse,Af Corse,LMP2,ORECA LMP2 07,148,134,134,7,101.306,103.1055,102.742,0.328,-6.3685,24.6375,48.1435,30.296,47,47,39,0.1739,46,38,0.1778,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_matthieu_vaxiviere,Matthieu Vaxiviere,Gold,car_imsa_2025_af_corse_88,88,team_af_corse,Af Corse,LMP2,ORECA LMP2 07,175,156,156,10,98.879,101.5045,100.6656,0.138,-7.2735,24.1285,47.3145,29.8865,47,47,24,0.5,46,19,0.6,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_nicklas_nielsen,Nicklas Nielsen,Platinum,car_imsa_2025_af_corse_88,88,team_af_corse,Af Corse,LMP2,ORECA LMP2 07,218,198,198,10,98.537,100.6885,100.3124,-0.4525,-7.9462,23.9675,47.062,29.5615,47,47,4,0.9348,46,7,0.8667,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_alessio_picariello,Alessio Picariello,Gold,car_imsa_2025_ao_racing_77,77,team_ao_racing,AO Racing,GTDPRO,Porsche 911 GT3 R (992),221,203,203,9,107.92,109.468,108.5464,-0.023,0.4385,25.83,51.017,32.621,54,54,28,0.4906,52,11,0.8039,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_klaus_bachler,Klaus Bachler,Platinum,car_imsa_2025_ao_racing_77,77,team_ao_racing,AO Racing,GTDPRO,Porsche 911 GT3 R (992),209,191,191,9,107.802,109.508,108.9923,0.106,0.5795,25.761,51.063,32.672,54,54,30,0.4528,52,34,0.3529,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_laurin_heinrich,Laurin Heinrich,Gold,car_imsa_2025_ao_racing_77,77,team_ao_racing,AO Racing,GTDPRO,Porsche 911 GT3 R (992),292,267,267,13,107.653,109.221,108.4127,-0.292,0.073,25.737,50.948,32.489,54,54,9,0.8491,52,3,0.9608,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_christian_rasmussen,Christian Rasmussen,Gold,car_imsa_2025_ao_racing_99,99,team_ao_racing,AO Racing,LMP2,ORECA LMP2 07,191,174,174,9,98.688,100.4495,99.9266,-0.9135,-8.3137,23.948,47.104,29.372,47,47,1,1.0,46,1,1.0,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_dane_cameron,Dane Cameron,Platinum,car_imsa_2025_ao_racing_99,99,team_ao_racing,AO Racing,LMP2,ORECA LMP2 07,224,200,200,12,99.097,100.9035,100.3556,-0.556,-8.0127,24.002,47.195,29.6335,47,47,7,0.8696,46,12,0.7556,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_jonny_edgar,Jonny Edgar,Silver,car_imsa_2025_ao_racing_99,99,team_ao_racing,AO Racing,LMP2,ORECA LMP2 07,190,170,170,10,98.734,101.0835,100.3882,-0.4092,-7.812,24.0575,47.1405,29.674,47,47,11,0.7826,46,13,0.7333,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_pj_hyett,PJ Hyett,Bronze,car_imsa_2025_ao_racing_99,99,team_ao_racing,AO Racing,LMP2,ORECA LMP2 07,152,136,136,8,100.613,102.2365,101.5486,-0.597,-7.1255,24.415,47.7925,29.834,47,47,34,0.2826,46,29,0.3778,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_mirko_bortolotti,Mirko Bortolotti,Platinum,car_imsa_2025_automobili_lamborghini_squadra_corse_63,63,team_automobili_lamborghini_squadra_corse,Automobili Lamborghini Squadra Corse,GTP,Lamborghini SC63,34,30,30,2,98.196,99.416,99.6887,0.513,-9.748,24.4065,46.2665,28.836,42,42,36,0.1463,42,42,0.0,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_lars_kern,Lars Kern,Silver,car_imsa_2025_awa_13,13,team_awa,AWA,GTD,Chevrolet Corvette Z06 GT3.R,182,164,164,10,107.663,109.9725,109.189,-0.1147,0.7977,25.8485,51.171,32.9275,86,86,47,0.4588,86,34,0.6118,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_marvin_kirchh_fer,Marvin Kirchhöfer,Platinum,car_imsa_2025_awa_13,13,team_awa,AWA,GTD,Chevrolet Corvette Z06 GT3.R,197,183,183,7,107.217,109.152,108.6994,-0.4545,0.3585,25.686,50.895,32.568,86,86,3,0.9765,86,5,0.9529,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_matthew_bell,Matthew Bell,Gold,car_imsa_2025_awa_13,13,team_awa,AWA,GTD,Chevrolet Corvette Z06 GT3.R,188,175,175,7,107.406,109.145,108.6178,-0.346,0.416,25.642,50.815,32.628,86,86,2,0.9882,86,2,0.9882,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_orey_fidani,Orey Fidani,Bronze,car_imsa_2025_awa_13,13,team_awa,AWA,GTD,Chevrolet Corvette Z06 GT3.R,152,136,136,9,109.218,111.11,110.4445,0.623,1.704,26.1215,51.543,33.353,86,86,79,0.0824,86,77,0.1059,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_dries_vanthoor,Dries Vanthoor,Platinum,car_imsa_2025_bmw_m_team_rll_24,24,team_bmw_m_team_rll,BMW M Team RLL,GTP,BMW M Hybrid V8,246,227,227,10,95.977,98.321,97.5622,-0.537,-10.747,24.079,45.774,28.344,42,42,1,1.0,42,1,1.0,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_kevin_magnussen,Kevin Magnussen,Platinum,car_imsa_2025_bmw_m_team_rll_24,24,team_bmw_m_team_rll,BMW M Team RLL,GTP,BMW M Hybrid V8,205,189,189,8,96.097,98.859,97.6944,-0.162,-10.257,24.073,45.981,28.578,42,42,17,0.6098,42,2,0.9756,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_philipp_eng,Philipp Eng,Platinum,car_imsa_2025_bmw_m_team_rll_24,24,team_bmw_m_team_rll,BMW M Team RLL,GTP,BMW M Hybrid V8,227,209,209,9,96.595,98.432,97.9585,-0.448,-10.4335,24.096,45.892,28.396,42,42,4,0.9268,42,13,0.7073,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_raffaele_marciello,Raffaele Marciello,Platinum,car_imsa_2025_bmw_m_team_rll_24,24,team_bmw_m_team_rll,BMW M Team RLL,GTP,BMW M Hybrid V8,102,94,94,4,96.918,98.99,98.9595,-0.062,-10.2012,24.089,46.0825,28.6815,42,42,22,0.4878,42,35,0.1707,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_marco_wittmann,Marco Wittmann,Platinum,car_imsa_2025_bmw_m_team_rll_25,25,team_bmw_m_team_rll,BMW M Team RLL,GTP,BMW M Hybrid V8,136,124,124,6,96.144,99.3215,98.2061,0.284,-9.4802,24.181,46.422,28.724,42,42,31,0.2683,42,22,0.4878,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_rene_rast,Rene Rast,Platinum,car_imsa_2025_bmw_m_team_rll_25,25,team_bmw_m_team_rll,BMW M Team RLL,GTP,BMW M Hybrid V8,203,187,187,8,96.233,98.662,97.8178,-0.242,-10.415,24.133,45.889,28.533,42,42,6,0.878,42,8,0.8293,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_robin_frijns,Robin Frijns,Platinum,car_imsa_2025_bmw_m_team_rll_25,25,team_bmw_m_team_rll,BMW M Team RLL,GTP,BMW M Hybrid V8,217,200,200,9,96.176,98.8235,98.0102,-0.1215,-10.2713,24.0665,45.9615,28.654,42,42,15,0.6585,42,15,0.6585,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_sheldon_van_der_linde,Sheldon van der Linde,Platinum,car_imsa_2025_bmw_m_team_rll_25,25,team_bmw_m_team_rll,BMW M Team RLL,GTP,BMW M Hybrid V8,221,205,205,8,95.868,98.714,98.3515,-0.097,-10.2435,24.083,46.058,28.552,42,42,8,0.8293,42,25,0.4146,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_brendon_hartley,Brendon Hartley,Platinum,car_imsa_2025_cadillac_wayne_taylor_racing_10,10,team_cadillac_wayne_taylor_racing,Cadillac Wayne Taylor Racing,GTP,Cadillac V-Series.R,174,162,162,6,97.045,99.01,98.1174,0.0025,-9.872,24.188,45.981,28.6945,42,42,24,0.439,42,19,0.561,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_filipe_albuquerque,Filipe Albuquerque,Platinum,car_imsa_2025_cadillac_wayne_taylor_racing_10,10,team_cadillac_wayne_taylor_racing,Cadillac Wayne Taylor Racing,GTP,Cadillac V-Series.R,264,241,241,12,96.682,98.985,98.7462,0.157,-10.263,24.132,46.059,28.73,42,42,20,0.5366,42,32,0.2439,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_ricky_taylor,Ricky Taylor,Platinum,car_imsa_2025_cadillac_wayne_taylor_racing_10,10,team_cadillac_wayne_taylor_racing,Cadillac Wayne Taylor Racing,GTP,Cadillac V-Series.R,113,105,105,4,97.427,99.349,98.7127,0.337,-9.642,24.275,46.043,28.9,42,42,33,0.2195,42,31,0.2683,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_will_stevens,Will Stevens,Platinum,car_imsa_2025_cadillac_wayne_taylor_racing_10,10,team_cadillac_wayne_taylor_racing,Cadillac Wayne Taylor Racing,GTP,Cadillac V-Series.R,229,211,211,9,96.449,99.03,97.9868,0.154,-9.841,24.11,46.134,28.635,42,42,25,0.4146,42,14,0.6829,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_jordan_taylor,Jordan Taylor,Platinum,car_imsa_2025_cadillac_wayne_taylor_racing_40,40,team_cadillac_wayne_taylor_racing,Cadillac Wayne Taylor Racing,GTP,Cadillac V-Series.R,81,75,75,3,97.442,99.16,98.835,-0.11,-10.416,24.15,46.236,28.72,42,42,28,0.3415,42,33,0.2195,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_kamui_kobayashi,Kamui Kobayashi,Platinum,car_imsa_2025_cadillac_wayne_taylor_racing_40,40,team_cadillac_wayne_taylor_racing,Cadillac Wayne Taylor Racing,GTP,Cadillac V-Series.R,82,76,76,3,96.579,99.1425,98.4276,-0.376,-10.468,24.1125,46.14,28.6445,42,42,27,0.3659,42,27,0.3659,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_louis_deletraz,Louis Deletraz,Gold,car_imsa_2025_cadillac_wayne_taylor_racing_40,40,team_cadillac_wayne_taylor_racing,Cadillac Wayne Taylor Racing,GTP,Cadillac V-Series.R,82,75,75,4,97.543,99.457,99.3581,0.289,-9.972,24.454,46.456,28.703,42,42,37,0.122,42,41,0.0244,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_earl_bamber,Earl Bamber,Platinum,car_imsa_2025_cadillac_whelen_31,31,team_cadillac_whelen,Cadillac Whelen,GTP,Cadillac V-Series.R,185,172,172,7,96.914,98.547,98.2345,-0.121,-10.4068,24.022,45.811,28.5745,42,42,5,0.9024,42,23,0.4634,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_felipe_drugovich,Felipe Drugovich,Platinum,car_imsa_2025_cadillac_whelen_31,31,team_cadillac_whelen,Cadillac Whelen,GTP,Cadillac V-Series.R,189,175,175,7,96.498,99.108,98.2558,0.189,-9.9375,24.124,46.199,28.757,42,42,26,0.3902,42,24,0.439,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_frederik_vesti,Frederik Vesti,Platinum,car_imsa_2025_cadillac_whelen_31,31,team_cadillac_whelen,Cadillac Whelen,GTP,Cadillac V-Series.R,155,143,143,6,96.764,99.542,98.4254,0.736,-9.2835,24.388,46.46,28.636,42,42,40,0.0488,42,26,0.3902,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_jack_aitken,Jack Aitken,Platinum,car_imsa_2025_cadillac_whelen_31,31,team_cadillac_whelen,Cadillac Whelen,GTP,Cadillac V-Series.R,202,188,188,7,96.69,98.8035,98.0867,-0.2665,-10.1315,24.249,45.9785,28.4885,42,42,13,0.7073,42,18,0.5854,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_antonio_fuoco,Antonio Fuoco,Platinum,car_imsa_2025_cetilar_racing_47,47,team_cetilar_racing,CETILAR RACING,GTD,Ferrari 296 GT3,47,43,43,2,108.364,109.367,115.0127,-0.485,0.3495,25.707,51.161,32.752,86,86,10,0.8941,86,86,0.0,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_lorenzo_patrese,Lorenzo Patrese,Silver,car_imsa_2025_cetilar_racing_47,47,team_cetilar_racing,CETILAR RACING,GTD,Ferrari 296 GT3,77,71,71,3,108.689,109.843,109.7382,-0.3955,0.505,25.811,51.146,32.896,86,86,36,0.5882,86,56,0.3529,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_nicola_lacorte,Nicola Lacorte,Silver,car_imsa_2025_cetilar_racing_47,47,team_cetilar_racing,CETILAR RACING,GTD,Ferrari 296 GT3,72,66,66,3,108.586,110.2695,109.9831,-0.083,0.7305,25.89,51.376,32.915,86,86,60,0.3059,86,64,0.2588,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_roberto_lacorte,Roberto Lacorte,Bronze,car_imsa_2025_cetilar_racing_47,47,team_cetilar_racing,CETILAR RACING,GTD,Ferrari 296 GT3,140,127,127,7,109.885,111.677,111.1997,1.313,2.278,26.252,51.885,33.519,86,86,83,0.0353,86,83,0.0353,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_cedric_sbirrazzuoli,Cedric Sbirrazzuoli,Silver,car_imsa_2025_conquest_racing_34,34,team_conquest_racing,Conquest Racing,GTD,Ferrari 296 GT3,166,151,151,8,108.495,109.971,109.4988,-0.137,0.85,25.908,51.192,32.885,86,86,45,0.4824,86,46,0.4706,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_daniel_serra,Daniel Serra,Platinum,car_imsa_2025_conquest_racing_34,34,team_conquest_racing,Conquest Racing,GTD,Ferrari 296 GT3,161,147,147,7,107.955,109.443,108.9861,-0.409,0.4575,25.794,51.081,32.572,86,86,15,0.8353,86,20,0.7765,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_giacomo_alto,Giacomo Altoè,Gold,car_imsa_2025_conquest_racing_34,34,team_conquest_racing,Conquest Racing,GTD,Ferrari 296 GT3,208,193,193,8,107.906,109.51,108.6888,-0.2485,0.516,25.661,51.089,32.725,86,86,19,0.7882,86,4,0.9647,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_manny_franco,Manny Franco,Silver,car_imsa_2025_conquest_racing_34,34,team_conquest_racing,Conquest Racing,GTD,Ferrari 296 GT3,138,123,123,9,108.967,110.537,109.8208,0.425,1.2755,25.983,51.479,33.017,86,86,66,0.2353,86,61,0.2941,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
