session_id,season,event,track,official_lower_grain,racetools_replay_inventory,racetools_payload_validated,own_snapshot_status,high_frequency_backfill_status,notes
6453,2025,"Grand Prix at Road America","Road America",yes,yes,no,none,candidate_replay_unlicensed,"RaceTools session ZIP listed in 2025 event directory"
6452,2025,"Grand Prix at Mid-Ohio","Mid-Ohio Sports Car Course",yes,yes,no,none,candidate_replay_unlicensed,"RaceTools session ZIP listed in 2025 event directory"
6451,2025,"INDY NXT by Firestone at Iowa Speedway","Iowa Speedway",yes,yes,no,none,candidate_replay_unlicensed,"RaceTools session ZIP listed in 2025 event directory"
6442,2025,"Grand Prix of Monterey Race 1","WeatherTech Raceway Laguna Seca",yes,yes,no,none,candidate_replay_unlicensed,"RaceTools session ZIP listed in 2025 event directory"
6450,2025,"Grand Prix of Monterey Race 2","WeatherTech Raceway Laguna Seca",yes,yes,no,none,candidate_replay_unlicensed,"RaceTools session ZIP listed in 2025 event directory"
6449,2025,"Grand Prix of Portland","Portland International Raceway",yes,yes,no,none,candidate_replay_unlicensed,"RaceTools session ZIP listed in 2025 event directory"
6448,2025,"INDY NXT by Firestone at the Milwaukee Mile","The Milwaukee Mile",yes,yes,no,none,candidate_replay_unlicensed,"RaceTools session ZIP listed in 2025 event directory"
6447,2025,"Music City Grand Prix","Nashville Superspeedway",yes,yes,no,none,candidate_replay_unlicensed,"RaceTools session ZIP listed in 2025 event directory"
6751,2026,"Grand Prix of St. Petersburg","Streets of St. Petersburg",yes,no,no,none,unavailable_currently,"No RaceTools 2026 directory/season ZIP and no BryceCast race capture"
6753,2026,"Grand Prix of Arlington","Grand Prix of Arlington Street Circuit",yes,no,no,none,unavailable_currently,"No RaceTools 2026 directory/season ZIP and no BryceCast race capture"
6750,2026,"Grand Prix of Alabama Race 1","Barber Motorsports Park",yes,no,no,none,unavailable_currently,"No RaceTools 2026 directory/season ZIP and no BryceCast race capture"
6752,2026,"Grand Prix of Alabama Race 2","Barber Motorsports Park",yes,no,no,none,unavailable_currently,"No RaceTools 2026 directory/season ZIP and no BryceCast race capture"
6756,2026,"Indianapolis Grand Prix Race 1","Indianapolis Motor Speedway Road Course",yes,no,no,none,unavailable_currently,"No RaceTools 2026 directory/season ZIP and no BryceCast race capture"
6765,2026,"Indianapolis Grand Prix Race 2","Indianapolis Motor Speedway Road Course",yes,no,no,none,unavailable_currently,"No RaceTools 2026 directory/season ZIP and no BryceCast race capture"
6749,2026,"Detroit Grand Prix","Detroit Downtown Street Circuit",yes,no,no,none,unavailable_currently,"No RaceTools 2026 directory/season ZIP and no BryceCast race capture"
6763,2026,"INDY NXT by Firestone at World Wide Technology Raceway","World Wide Technology Raceway",yes,no,no,cold_rows_only,unavailable_currently,"Six cold rows do not constitute a race capture"
6762,2026,"Grand Prix at Road America Race 1","Road America",yes,no,no,none,unavailable_currently,"No RaceTools 2026 directory/season ZIP and no BryceCast race capture"
6754,2026,"Grand Prix at Road America Race 2","Road America",yes,no,no,partial,partial_own_capture,"1175 snapshots with a 1602.864-second gap; unsafe as continuous history"
6761,2026,"Grand Prix at Mid-Ohio Race 1","Mid-Ohio Sports Car Course",yes,no,no,complete,complete_own_capture,"3317 snapshots at 1.002-second median observation cadence"
6760,2026,"Grand Prix at Mid-Ohio Race 2","Mid-Ohio Sports Car Course",yes,no,no,complete,complete_own_capture,"3086 snapshots at about one-second observation cadence"
