sessionId,raceLabel,fieldRatedRivals,fieldStrengthMean,fieldStrengthMedian,topRatedRivals,bryceFinish,bryceFinishPercentile,resultVsFieldStrength,sourceState,caveat
session_indy_nxt_2025_6444,2025 Indianapolis Grand Prix Race 1 R1,20,0.4970936497262572,0.5021942975880481,Dennis Hauger:0.74; Caio Collet:0.71; Nikita Johnson:0.67; Lochie Hughes:0.66; Myles Rowe:0.59,15,0.3333,-0.1637936497262572,official_results_descriptive_strength,"Field strength uses same-sample outcome history and should be read as context, not predictive truth."
session_indy_nxt_2025_6443,2025 Indianapolis Grand Prix Race 2 R2,20,0.4970936497262572,0.5021942975880481,Dennis Hauger:0.74; Caio Collet:0.71; Nikita Johnson:0.67; Lochie Hughes:0.66; Myles Rowe:0.59,15,0.3333,-0.1637936497262572,official_results_descriptive_strength,"Field strength uses same-sample outcome history and should be read as context, not predictive truth."
session_indy_nxt_2025_6455,2025 Detroit Grand Prix,19,0.4898349716643492,0.4824561403508772,Dennis Hauger:0.74; Caio Collet:0.71; Lochie Hughes:0.66; Myles Rowe:0.59; Salvador de Alba:0.58,10,0.55,0.06016502833565085,official_results_descriptive_strength,"Field strength uses same-sample outcome history and should be read as context, not predictive truth."
session_indy_nxt_2025_6454,2025 INDY NXT by Firestone at World Wide Technology Raceway,18,0.48075656099166414,0.43826519036170397,Dennis Hauger:0.74; Caio Collet:0.71; Lochie Hughes:0.66; Myles Rowe:0.59; Salvador de Alba:0.58,14,0.3158,-0.16495656099166411,official_results_descriptive_strength,"Field strength uses same-sample outcome history and should be read as context, not predictive truth."
session_indy_nxt_2025_6453,2025 Grand Prix at Road America,18,0.4858641614683113,0.46322290976349395,Dennis Hauger:0.74; Caio Collet:0.71; Lochie Hughes:0.66; Myles Rowe:0.59; Salvador de Alba:0.58,9,0.5789,0.09303583853168867,official_results_descriptive_strength,"Field strength uses same-sample outcome history and should be read as context, not predictive truth."
session_indy_nxt_2025_6452,2025 Grand Prix at Mid-Ohio,18,0.48805729005021914,0.4829610670006649,Dennis Hauger:0.74; Caio Collet:0.71; Lochie Hughes:0.66; Myles Rowe:0.59; Salvador de Alba:0.58,12,0.4211,-0.06695729005021916,official_results_descriptive_strength,"Field strength uses same-sample outcome history and should be read as context, not predictive truth."
session_indy_nxt_2025_6451,2025 INDY NXT by Firestone at Iowa Speedway,18,0.4875166009104214,0.47723657818625814,Dennis Hauger:0.74; Caio Collet:0.71; Lochie Hughes:0.66; Myles Rowe:0.59; Salvador de Alba:0.58,9,0.5789,0.09138339908957854,official_results_descriptive_strength,"Field strength uses same-sample outcome history and should be read as context, not predictive truth."
session_indy_nxt_2025_6442,2025 Grand Prix of Monterey Race 1 R1,18,0.4980696717660112,0.5021942975880481,Dennis Hauger:0.74; Caio Collet:0.71; Lochie Hughes:0.66; Myles Rowe:0.59; Salvador de Alba:0.58,10,0.5263,0.0282303282339888,official_results_descriptive_strength,"Field strength uses same-sample outcome history and should be read as context, not predictive truth."
session_indy_nxt_2025_6450,2025 Grand Prix of Monterey Race 2 R2,18,0.4980696717660112,0.5021942975880481,Dennis Hauger:0.74; Caio Collet:0.71; Lochie Hughes:0.66; Myles Rowe:0.59; Salvador de Alba:0.58,19,0.0526,-0.4454696717660112,official_results_descriptive_strength,"Field strength uses same-sample outcome history and should be read as context, not predictive truth."
session_indy_nxt_2025_6449,2025 Grand Prix of Portland,18,0.4889106972524204,0.4829610670006649,Dennis Hauger:0.74; Caio Collet:0.71; Lochie Hughes:0.66; Myles Rowe:0.59; Salvador de Alba:0.58,19,0.0526,-0.43631069725242044,official_results_descriptive_strength,"Field strength uses same-sample outcome history and should be read as context, not predictive truth."
session_indy_nxt_2025_6448,2025 INDY NXT by Firestone at the Milwaukee Mile,17,0.505834794327914,0.5405297775733736,Dennis Hauger:0.74; Caio Collet:0.71; Lochie Hughes:0.66; Myles Rowe:0.59; Salvador de Alba:0.58,5,0.7778,0.27196520567208604,official_results_descriptive_strength,"Field strength uses same-sample outcome history and should be read as context, not predictive truth."
session_indy_nxt_2025_6447,2025 Music City Grand Prix,17,0.49090664493071245,0.4439896791761107,Dennis Hauger:0.74; Caio Collet:0.71; Lochie Hughes:0.66; Myles Rowe:0.59; Salvador de Alba:0.58,6,0.7222,0.2312933550692875,official_results_descriptive_strength,"Field strength uses same-sample outcome history and should be read as context, not predictive truth."
session_indy_nxt_2026_6751,2026 Grand Prix of St. Petersburg,23,0.49923263744176416,0.5065217391304347,Tymek Kucharczyk:0.72; Nikita Johnson:0.67; Enzo Fittipaldi:0.67; Lochie Hughes:0.66; Myles Rowe:0.59,18,0.2917,-0.20753263744176415,official_results_descriptive_strength,"Field strength uses same-sample outcome history and should be read as context, not predictive truth."
session_indy_nxt_2026_6753,2026 Grand Prix of Arlington,23,0.49923263744176416,0.5065217391304347,Tymek Kucharczyk:0.72; Nikita Johnson:0.67; Enzo Fittipaldi:0.67; Lochie Hughes:0.66; Myles Rowe:0.59,18,0.2917,-0.20753263744176415,official_results_descriptive_strength,"Field strength uses same-sample outcome history and should be read as context, not predictive truth."
session_indy_nxt_2026_6750,2026 Grand Prix of Alabama Race 1 R1,23,0.49923263744176416,0.5065217391304347,Tymek Kucharczyk:0.72; Nikita Johnson:0.67; Enzo Fittipaldi:0.67; Lochie Hughes:0.66; Myles Rowe:0.59,8,0.7083,0.20906736255823588,official_results_descriptive_strength,"Field strength uses same-sample outcome history and should be read as context, not predictive truth."
session_indy_nxt_2026_6752,2026 Grand Prix of Alabama Race 2 R2,23,0.49923263744176416,0.5065217391304347,Tymek Kucharczyk:0.72; Nikita Johnson:0.67; Enzo Fittipaldi:0.67; Lochie Hughes:0.66; Myles Rowe:0.59,7,0.75,0.25076736255823584,official_results_descriptive_strength,"Field strength uses same-sample outcome history and should be read as context, not predictive truth."
session_indy_nxt_2026_6756,2026 Indianapolis Grand Prix Race 1 R1,23,0.49923263744176416,0.5065217391304347,Tymek Kucharczyk:0.72; Nikita Johnson:0.67; Enzo Fittipaldi:0.67; Lochie Hughes:0.66; Myles Rowe:0.59,22,0.125,-0.37423263744176416,official_results_descriptive_strength,"Field strength uses same-sample outcome history and should be read as context, not predictive truth."
session_indy_nxt_2026_6765,2026 Indianapolis Grand Prix Race 2 R2,23,0.49923263744176416,0.5065217391304347,Tymek Kucharczyk:0.72; Nikita Johnson:0.67; Enzo Fittipaldi:0.67; Lochie Hughes:0.66; Myles Rowe:0.59,12,0.5417,0.0424673625582358,official_results_descriptive_strength,"Field strength uses same-sample outcome history and should be read as context, not predictive truth."
session_indy_nxt_2026_6749,2026 Detroit Grand Prix,23,0.49923263744176416,0.5065217391304347,Tymek Kucharczyk:0.72; Nikita Johnson:0.67; Enzo Fittipaldi:0.67; Lochie Hughes:0.66; Myles Rowe:0.59,8,0.7083,0.20906736255823588,official_results_descriptive_strength,"Field strength uses same-sample outcome history and should be read as context, not predictive truth."
session_indy_nxt_2026_6763,2026 INDY NXT by Firestone at World Wide Technology Raceway,23,0.5019065894453976,0.5065217391304347,Tymek Kucharczyk:0.72; Nikita Johnson:0.67; Enzo Fittipaldi:0.67; Lochie Hughes:0.66; Myles Rowe:0.59,23,0.0833,-0.4186065894453976,official_results_descriptive_strength,"Field strength uses same-sample outcome history and should be read as context, not predictive truth."
session_indy_nxt_2026_6762,2026 Grand Prix at Road America Race 1 R1,23,0.49923263744176416,0.5065217391304347,Tymek Kucharczyk:0.72; Nikita Johnson:0.67; Enzo Fittipaldi:0.67; Lochie Hughes:0.66; Myles Rowe:0.59,21,0.1667,-0.3325326374417642,official_results_descriptive_strength,"Field strength uses same-sample outcome history and should be read as context, not predictive truth."
session_indy_nxt_2026_6754,2026 Grand Prix at Road America Race 2 R2,23,0.49923263744176416,0.5065217391304347,Tymek Kucharczyk:0.72; Nikita Johnson:0.67; Enzo Fittipaldi:0.67; Lochie Hughes:0.66; Myles Rowe:0.59,10,0.625,0.12576736255823584,official_results_descriptive_strength,"Field strength uses same-sample outcome history and should be read as context, not predictive truth."
session_indy_nxt_2026_6761,2026 Grand Prix at Mid-Ohio Race 1 R1,23,0.4979405282298895,0.5065217391304347,Tymek Kucharczyk:0.72; Nikita Johnson:0.67; Enzo Fittipaldi:0.67; Lochie Hughes:0.66; Myles Rowe:0.59,16,0.375,-0.12294052822988949,official_results_descriptive_strength,"Field strength uses same-sample outcome history and should be read as context, not predictive truth."
session_indy_nxt_2026_6760,2026 Grand Prix at Mid-Ohio Race 2 R2,23,0.4979405282298895,0.5065217391304347,Tymek Kucharczyk:0.72; Nikita Johnson:0.67; Enzo Fittipaldi:0.67; Lochie Hughes:0.66; Myles Rowe:0.59,14,0.4583,-0.039640528229889505,official_results_descriptive_strength,"Field strength uses same-sample outcome history and should be read as context, not predictive truth."
