raceSessionId,seriesId,seriesName,seasonYear,roundIndex,eventName,raceLabel,raceNumber,reason,note
session_gb3_2021_212005_race_2_result,series_gb3,GB3 Championship,2021,1,GB3 2021 Round 1 - Brands Hatch,Race 2 Result,2,reverse_grid_no_quali_match,Grid does not match any qualifying rank in this event (grid set by a prior race's classification).
session_gb3_2021_212005_race_3_result,series_gb3,GB3 Championship,2021,1,GB3 2021 Round 1 - Brands Hatch,Race 3 Result,3,reverse_grid_no_quali_match,Grid does not match any qualifying rank in this event (grid set by a prior race's classification).
session_gb3_2021_212505_race_1_result,series_gb3,GB3 Championship,2021,2,GB3 2021 Round 2 - Silverstone,Race 1 Result,1,reverse_grid_no_quali_match,Grid does not match any qualifying rank in this event (grid set by a prior race's classification).
session_gb3_2021_212705_race_3_result,series_gb3,GB3 Championship,2021,3,GB3 2021 Round 3 - Donington Park,Race 3 Result,3,reverse_grid_no_quali_match,Grid does not match any qualifying rank in this event (grid set by a prior race's classification).
session_gb3_2021_212905_race_3_result,series_gb3,GB3 Championship,2021,4,GB3 2021 Round 4 - Spa-Francorchamps,Race 3 Result,3,reverse_grid_no_quali_match,Grid does not match any qualifying rank in this event (grid set by a prior race's classification).
session_gb3_2021_213605_race_3_result,series_gb3,GB3 Championship,2021,6,GB3 2021 Round 6 - Oulton Park,Race 3 Result,3,reverse_grid_no_quali_match,Grid does not match any qualifying rank in this event (grid set by a prior race's classification).
session_gb3_2021_214105_race_3_result,series_gb3,GB3 Championship,2021,7,GB3 2021 Round 7 - Donington Park,Race 3 Result,3,reverse_grid_no_quali_match,Grid does not match any qualifying rank in this event (grid set by a prior race's classification).
session_gb3_2022_778,series_gb3,GB3 Championship,2022,1,GB3 2022 Round 1 - Oulton Park,Race 1,1,no_grid_column,"Source family does not populate a grid column; qualifying position recorded, conversion not computed."
session_gb3_2022_779,series_gb3,GB3 Championship,2022,1,GB3 2022 Round 1 - Oulton Park,Race 2,2,no_grid_column,"Source family does not populate a grid column; qualifying position recorded, conversion not computed."
session_gb3_2022_780,series_gb3,GB3 Championship,2022,1,GB3 2022 Round 1 - Oulton Park,Race 3 ,3,no_grid_column,"Source family does not populate a grid column; qualifying position recorded, conversion not computed."
session_gb3_2022_1082,series_gb3,GB3 Championship,2022,2,GB3 2022 Round 2 - Silverstone,Race 1,4,no_grid_column,"Source family does not populate a grid column; qualifying position recorded, conversion not computed."
session_gb3_2022_1083,series_gb3,GB3 Championship,2022,2,GB3 2022 Round 2 - Silverstone,Race 2,5,no_grid_column,"Source family does not populate a grid column; qualifying position recorded, conversion not computed."
session_gb3_2022_1084,series_gb3,GB3 Championship,2022,2,GB3 2022 Round 2 - Silverstone,Race 3 ,6,no_grid_column,"Source family does not populate a grid column; qualifying position recorded, conversion not computed."
session_gb3_2022_1085,series_gb3,GB3 Championship,2022,3,GB3 2022 Round 3 - Donington Park,Race 1,7,no_grid_column,"Source family does not populate a grid column; qualifying position recorded, conversion not computed."
session_gb3_2022_1087,series_gb3,GB3 Championship,2022,3,GB3 2022 Round 3 - Donington Park,Race 3 ,9,no_grid_column,"Source family does not populate a grid column; qualifying position recorded, conversion not computed."
session_gb3_2022_1257,series_gb3,GB3 Championship,2022,3,GB3 2022 Round 3 - Donington Park,Race 2,8,no_grid_column,"Source family does not populate a grid column; qualifying position recorded, conversion not computed."
session_gb3_2022_1088,series_gb3,GB3 Championship,2022,4,GB3 2022 Round 4 - Snetterton,Race 1,10,no_grid_column,"Source family does not populate a grid column; qualifying position recorded, conversion not computed."
session_gb3_2022_1089,series_gb3,GB3 Championship,2022,4,GB3 2022 Round 4 - Snetterton,Race 2,11,no_grid_column,"Source family does not populate a grid column; qualifying position recorded, conversion not computed."
session_gb3_2022_1305,series_gb3,GB3 Championship,2022,4,GB3 2022 Round 4 - Snetterton,Race 3,12,no_finish,No classified finish for this race.
session_gb3_2022_1363,series_gb3,GB3 Championship,2022,5,GB3 2022 Round 5 - Spa,Race 1,13,no_grid_column,"Source family does not populate a grid column; qualifying position recorded, conversion not computed."
session_gb3_2022_1364,series_gb3,GB3 Championship,2022,5,GB3 2022 Round 5 - Spa,Race 2,14,no_grid_column,"Source family does not populate a grid column; qualifying position recorded, conversion not computed."
session_gb3_2022_1365,series_gb3,GB3 Championship,2022,5,GB3 2022 Round 5 - Spa,Race 3,15,no_grid_column,"Source family does not populate a grid column; qualifying position recorded, conversion not computed."
session_gb3_2022_1094,series_gb3,GB3 Championship,2022,6,GB3 2022 Round 6 - Silverstone,Race 1,16,no_qualifying_in_event,No Bryce qualifying classification exists for this event.
session_gb3_2022_1096,series_gb3,GB3 Championship,2022,6,GB3 2022 Round 6 - Silverstone,Race 3 ,18,no_qualifying_in_event,No Bryce qualifying classification exists for this event.
session_gb3_2022_1376,series_gb3,GB3 Championship,2022,6,GB3 2022 Round 6 - Silverstone,Race 2,17,no_finish,No classified finish for this race.
session_gb3_2022_1097,series_gb3,GB3 Championship,2022,7,GB3 2022 Round 7 - Brands Hatch,Race 1,19,no_grid_column,"Source family does not populate a grid column; qualifying position recorded, conversion not computed."
session_gb3_2022_1098,series_gb3,GB3 Championship,2022,7,GB3 2022 Round 7 - Brands Hatch,Race 2,20,no_grid_column,"Source family does not populate a grid column; qualifying position recorded, conversion not computed."
session_gb3_2022_1099,series_gb3,GB3 Championship,2022,7,GB3 2022 Round 7 - Brands Hatch,Race 3 ,21,no_grid_column,"Source family does not populate a grid column; qualifying position recorded, conversion not computed."
session_gb3_2022_1103,series_gb3,GB3 Championship,2022,8,GB3 2022 Round 8 - Donington Park,Race 1,22,no_grid_column,"Source family does not populate a grid column; qualifying position recorded, conversion not computed."
session_gb3_2022_1104,series_gb3,GB3 Championship,2022,8,GB3 2022 Round 8 - Donington Park,Race 2,23,no_grid_column,"Source family does not populate a grid column; qualifying position recorded, conversion not computed."
session_gb3_2022_1105,series_gb3,GB3 Championship,2022,8,GB3 2022 Round 8 - Donington Park,Race 3 ,24,no_grid_column,"Source family does not populate a grid column; qualifying position recorded, conversion not computed."
session_euroformula_2023_01-portimao-race-2,series_euroformula_open,Euroformula Open,2023,1,Euroformula Open 2023 Round 1 - Portimao,Race 2,2,reverse_grid_no_quali_match,Grid does not match any qualifying rank in this event (grid set by a prior race's classification).
session_euroformula_2023_01-portimao-race-3,series_euroformula_open,Euroformula Open,2023,1,Euroformula Open 2023 Round 1 - Portimao,Race 3,3,reverse_grid_no_quali_match,Grid does not match any qualifying rank in this event (grid set by a prior race's classification).
session_euroformula_2023_02-spa_francorchamps-race-2,series_euroformula_open,Euroformula Open,2023,2,Euroformula Open 2023 Round 2 - Spa-Francorchamps,Race 2,2,reverse_grid_no_quali_match,Grid does not match any qualifying rank in this event (grid set by a prior race's classification).
session_euroformula_2023_02-spa_francorchamps-race-3,series_euroformula_open,Euroformula Open,2023,2,Euroformula Open 2023 Round 2 - Spa-Francorchamps,Race 3,3,reverse_grid_no_quali_match,Grid does not match any qualifying rank in this event (grid set by a prior race's classification).
session_euroformula_2023_03-hungaroring-race-2,series_euroformula_open,Euroformula Open,2023,3,Euroformula Open 2023 Round 3 - Hungaroring,Race 2,2,reverse_grid_no_quali_match,Grid does not match any qualifying rank in this event (grid set by a prior race's classification).
session_euroformula_2023_04-paul_ricard-race-2,series_euroformula_open,Euroformula Open,2023,4,Euroformula Open 2023 Round 4 - Paul Ricard,Race 2,2,reverse_grid_no_quali_match,Grid does not match any qualifying rank in this event (grid set by a prior race's classification).
session_euroformula_2023_04-paul_ricard-race-3,series_euroformula_open,Euroformula Open,2023,4,Euroformula Open 2023 Round 4 - Paul Ricard,Race 3,3,reverse_grid_no_quali_match,Grid does not match any qualifying rank in this event (grid set by a prior race's classification).
session_euroformula_2023_05-red_bull_ring-race-2,series_euroformula_open,Euroformula Open,2023,5,Euroformula Open 2023 Round 5 - Red Bull Ring,Race 2,2,reverse_grid_no_quali_match,Grid does not match any qualifying rank in this event (grid set by a prior race's classification).
session_euroformula_2023_05-red_bull_ring-race-3,series_euroformula_open,Euroformula Open,2023,5,Euroformula Open 2023 Round 5 - Red Bull Ring,Race 3,3,reverse_grid_no_quali_match,Grid does not match any qualifying rank in this event (grid set by a prior race's classification).
session_euroformula_2023_06-monza-race-2,series_euroformula_open,Euroformula Open,2023,6,Euroformula Open 2023 Round 6 - Monza,Race 2,2,no_finish,No classified finish for this race.
session_euroformula_2023_06-monza-race-3,series_euroformula_open,Euroformula Open,2023,6,Euroformula Open 2023 Round 6 - Monza,Race 3,3,reverse_grid_no_quali_match,Grid does not match any qualifying rank in this event (grid set by a prior race's classification).
session_froc_2024_r4_race_2,series_froc,Castrol Toyota Formula Regional Oceania Championship,2024,4,FROC 2024 Round 4 - Euromarque Motorsport Park,Race 2,11,reverse_grid_no_quali_match,Grid does not match any qualifying rank in this event (grid set by a prior race's classification).
session_froc_2024_r5_race_2,series_froc,Castrol Toyota Formula Regional Oceania Championship,2024,5,FROC 2024 Round 5 - Highlands Motorsport Park,Race 2,14,reverse_grid_no_quali_match,Grid does not match any qualifying rank in this event (grid set by a prior race's classification).
session_indy_nxt_2024_6321,series_indy_nxt,INDY NXT,2024,12,Grand Prix of Portland,Race,,reverse_grid_no_quali_match,Grid does not match any qualifying rank in this event (grid set by a prior race's classification).
session_indy_nxt_2024_6323,series_indy_nxt,INDY NXT,2024,14,Music City Grand Prix,Race,,no_qualifying_in_event,No Bryce qualifying classification exists for this event.
session_imsa_2025_daytona_rolex_24_race,series_imsa_weathertech,IMSA WeatherTech SportsCar Championship,2025,1,Rolex 24 at Daytona,Race,,no_qualifying_in_event,No Bryce qualifying classification exists for this event.
session_indy_nxt_2025_6446,series_indy_nxt,INDY NXT,2025,1,Grand Prix of St. Petersburg,Race,,reverse_grid_no_quali_match,Grid does not match any qualifying rank in this event (grid set by a prior race's classification).
session_indy_nxt_2025_6445,series_indy_nxt,INDY NXT,2025,2,Grand Prix of Alabama,Race,,reverse_grid_no_quali_match,Grid does not match any qualifying rank in this event (grid set by a prior race's classification).
session_indy_nxt_2025_6451,series_indy_nxt,INDY NXT,2025,9,INDY NXT by Firestone at Iowa Speedway,Race,,no_qualifying_in_event,No Bryce qualifying classification exists for this event.
